Accel_x	Accel_y	Accel_z	gyro_x	gyro_y	gyro_z
981.6	142.3	45.4	0	-1.3	0.3
982.2	138.7	39.6	0.1	-1.8	0.9
981.5	132.2	40	0.1	-1.8	0.9
983.2	132.4	38.5	0.1	-2	0.7
984.6	125	34.5	-0.3	-1.8	0
980.5	128.4	32.5	-0.4	-1.7	-0.9
988	132.8	35	-0.7	-1.5	-1
981.3	133.9	35.1	-0.7	-1.6	-0.5
982.4	131.2	36.2	-0.2	-1.4	-0.6
981.8	133.3	34.7	-0.1	-1.5	-0.9
983.5	131.5	32.4	-0.5	-0.9	-0.7
984.3	129.1	37.5	-0.6	-0.7	-0.5
982.9	126.2	35.1	-0.4	-1	-1
982.9	126.9	36.3	-0.6	-1	-2
986.8	134.2	35.5	-1.2	-1.4	-2
980.7	136.3	32.3	-0.7	-1.3	-1.3
984.3	133.7	32.9	0	-0.9	-1
981.6	131.9	33	-0.1	-1	-0.7
984.2	131.3	36.8	-0.4	-0.8	-0.8
984.3	132.8	34.3	-0.3	-1.3	-0.3
981.8	133	34.4	0	-1.1	0
982.5	126.2	29.2	0.2	-0.9	0
985.5	124.7	34.3	0	-0.6	-0.5
985.3	125.1	33.8	-0.6	-0.1	-0.4
978	122.6	31.2	-0.9	-0.5	-0.5
981.5	120.3	31.9	-0.3	-1	-1.1
984.6	126.5	32.4	0	-0.1	-2.5
986.4	131.4	33.4	-1	-0.3	-1.8
982	130.8	34.5	-1.2	-0.3	-1.9
984.4	130.3	35.6	-0.2	-0.5	-1.7
985.8	130.6	37.4	-0.3	-0.8	-1
982.1	128	33.4	-0.5	-0.9	-0.9
984.7	123.6	36.8	-0.4	-0.6	-1.4
982.2	123.5	33.3	-0.1	-0.6	-1.9
984.9	122.4	32.4	-0.5	-0.2	-2.5
985.2	125.8	29.6	-0.3	0	-2.8
982.7	128	32.5	-0.2	0.1	-2.9
986.5	131.7	30.6	0	0	-3
983.1	134.2	34.1	-0.2	0	-2.4
984.3	130.8	35.2	-0.1	0.1	-1.5
983.6	129	41.3	-0.5	0	-1.7
981.5	128.9	36.9	-0.4	-0.5	-1.7
981.5	117.4	36.1	0	-0.1	-2.6
987.5	121	37.7	-0.4	-0.2	-4.1
985.2	127	36.8	-1.4	-0.3	-4.7
980.5	132.5	34	-1	0	-4.5
983.6	136.4	37.1	-0.5	0.2	-4.3
989.2	139.1	44.7	-0.9	-0.3	-3.6
977.2	141.1	37.4	-0.6	-0.8	-2.5
983.6	136.9	40.2	-0.2	-0.1	-2.7
977.5	135.7	43.8	-0.8	-1	-2.7
982.2	127.6	35.8	-0.7	-0.8	-2.9
983	128.1	34.4	-0.4	-0.3	-4
984.7	129.5	30.8	-0.9	-0.3	-4.9
983.3	132.6	34.6	-1	0	-6.2
984	142.5	38.3	-1.5	-0.4	-6.4
982	151.2	36.3	-1.4	-0.5	-5.3
980.9	152.2	37.5	-0.6	-0.3	-3.4
979.6	152.4	39.9	0	-0.6	-2.7
980.8	146.6	33.4	0.2	-0.5	-2
983.3	141.3	36.1	0.4	-0.1	-2.1
984.9	139.1	38.6	-0.1	-0.2	-2.2
981.5	139	38.2	-0.4	-0.5	-2.2
981.3	140.6	35.2	-0.1	-0.4	-2.8
980.3	144.5	35.6	-0.3	-0.3	-2.9
982.1	145.9	36.7	-0.5	0	-3
980.3	149.2	37.1	-0.6	0	-3.1
981.5	148.5	36.4	-0.4	-0.3	-2.6
981.3	144.1	38.2	-0.2	-0.2	-2.8
982.1	144.8	37.7	-0.5	-0.3	-3.1
980.7	144.8	34.7	-0.5	-0.2	-3.2
977.6	142.9	37.9	-0.5	0	-3.9
988.2	140.6	37.3	-0.7	0.1	-4.4
973.8	143.3	36.1	-0.9	0	-5.4
983	138.3	37.2	-1	0.9	-6.9
981.9	141.2	42.9	-2.1	0.1	-8.5
979	143.7	38.3	-2.5	0.4	-9.9
979.7	143.1	48.2	-2.9	0.3	-11.5
975.4	151.1	43.8	-3.3	0.1	-13
983.2	142.5	54.5	-4	1.1	-15.1
983.3	127.5	75.9	-5.6	1.5	-19.9
998.5	80.6	90.9	-9.5	4.6	-28
1004.3	116.9	56.7	-18.2	10.1	-39.9
969.8	196.6	105.2	-23.6	6	-44.3
1185.1	148	248.6	-40.5	21.2	-57.1
1535.8	81.9	410.1	-46.1	31.8	-79
1363.4	14	456.1	-53.8	-6.5	-74
1363.8	116.9	273.4	-71.5	-69.3	-67.1
1293.4	284.9	81.5	-76.5	-75.8	-50.6
1163.2	240.4	3.4	-63.5	-67.3	-43.6
1053.7	274	-76	-55.8	-71.1	-53.7
994.9	340.8	-138.3	-40.3	-71.5	-58.8
987.3	406.4	-147	-21.9	-61.3	-37.1
971.3	370.9	-141.2	-41.1	-52.9	-7.3
954.5	308.3	-69.7	-67	-43.6	1.2
962.8	274.6	-8.9	-72.9	-37.1	-9.5
929	276	70.6	-70.4	-39.1	-27
889.1	303.2	102.9	-66.7	-50.3	-39.6
864.2	323.8	36.1	-61.3	-64.3	-42.5
825	356.3	-12.8	-66.5	-72.7	-39.4
838.6	396.2	-35.7	-71.1	-67.5	-34.7
835.5	436.2	20.1	-69.5	-66.2	-29.6
813.4	470.8	22.9	-66.2	-76	-21
825.5	474.8	-31.4	-65.3	-81.1	-4.3
820.9	456.9	-38.5	-70.9	-79.9	9.8
798.9	427.4	-47.3	-72.3	-83.2	19.5
788.5	405.3	-64.4	-73.3	-85.2	20.9
794.3	378.5	-129.5	-75.1	-80.5	13.6
788	405.6	-148.4	-73.3	-68.9	-0.6
797.4	428.4	-129.8	-68	-58.1	-11.8
802.9	444.7	-97.5	-70.2	-52.3	-14.4
802.1	453.9	-67.5	-74.7	-57.3	-11.8
786.9	451.7	-63.5	-75	-68.8	-11.5
781.7	496.8	-136.3	-78.8	-74.7	-10.2
784.3	521.7	-163	-76.8	-67	-7.8
802	529.9	-142.4	-72.8	-61.5	-5.8
799.4	553.9	-87.4	-69.2	-63.3	-1
793.8	559.6	-116.9	-70.5	-76.5	6.5
793.9	571.2	-167.7	-73.6	-78.4	10.4
758.9	601.4	-184.8	-70.9	-78.3	12.4
716.4	621.4	-208.7	-55.6	-73.2	15.5
730.2	633.3	-218	-42.5	-65.5	20.3
747.4	634.7	-190.4	-39	-60.3	23.1
742.9	623	-196	-34	-64.1	29.2
722.1	596.8	-228.5	-26.7	-66.6	31
716.6	586	-294.3	-9.3	-60.1	31.4
693.7	561.4	-295.5	0.7	-55.2	25
708.2	546.9	-333.1	5.1	-51.3	23.4
710.4	519.6	-361.8	6.9	-44	25.2
746.5	496	-365.7	0.6	-32.5	25
765.1	495.4	-330.5	-2	-27.2	20.9
759.6	493.8	-328.6	-2	-35.3	19.1
768.5	472	-376.3	-6.1	-36.3	19
756.4	450.9	-372.9	-13	-31.8	17.4
743.5	455.9	-388.7	-14.5	-32.7	14
748.9	468	-415.6	-11	-28.9	12.8
760.3	469.4	-391.2	1.2	-24	11
765.1	460.9	-376.5	3.8	-25.6	8.3
764.5	460.2	-396.7	6.1	-23.1	9.8
755.1	469.8	-450.4	-7	-14.4	16
730.2	441.5	-439.2	-24	-5.3	24.6
747.9	401.2	-420.8	-24.5	-5.2	19.3
762.5	402.9	-405.3	-16.6	-11.5	8.9
758.1	439.5	-434	-8.3	-15.2	3.5
753.9	446.2	-432	-7.6	-9.5	4.8
764.7	435.4	-421.8	-4.4	-5.4	3.3
774.4	429.8	-413.3	3.1	-3.4	-1.7
778.8	428.2	-401.4	5.7	-5.7	-2.4
786.6	439.9	-401.1	7.9	-10.7	-1.5
778.9	376.4	-459.8	-0.2	-9.9	-7.8
726.8	310.9	-460.4	-12.4	2.1	-35.9
771.2	257.6	-483.8	-5.5	-2.8	-72
711.7	373.4	-478	-28.9	9.7	-113.3
699.3	560.5	-376.8	26.7	-1.3	-102.1
726.8	685.5	-447.1	-5	-10.2	-65.9
658.3	701.5	-428.1	-37.2	-11.9	-18.2
646.4	626.4	-494.5	-38.2	-10.5	20.9
655.6	549.5	-480.1	-31.4	-5	28.7
666.7	548.3	-455.4	-17.5	-5.5	21.3
693.8	548.2	-450.5	-2.8	-7.5	18.7
711.7	489.3	-485.7	-8.3	-3.2	10
718.9	496.9	-403.9	29.1	-2.5	-0.9
752.1	548	-456.4	22.1	-6.7	-8.2
745.4	542.1	-446.6	2.5	-0.1	-9
732.9	535.2	-418.5	-4.6	-3.2	-9
725.7	534.3	-444.2	-1	-6.3	-5.6
727.9	530.5	-470.4	-1.4	-3.2	0.1
740.1	523.8	-450.9	-9.6	-0.5	5
731.3	522.4	-431.6	-11.2	-2.5	3.6
710.5	526.8	-431.2	0	-7.3	-0.1
716.1	525.1	-473.1	7.8	-6.7	0.3
717	520.1	-471	4.7	-3	0.9
703.6	515.1	-458.8	0.4	-1.6	0.1
692	515.5	-453.2	2.8	-3.1	-1.3
699.2	519.1	-476	6.4	-3.6	-1.9
705.5	519.6	-473.5	3.7	0.2	-0.4
692.3	510.2	-465.9	-3.7	2.6	1.3
670.5	507.2	-466.9	-5.8	4.4	1.4
666.3	517.7	-469.3	0.6	6.2	-1.5
671.6	548.5	-451.4	7.1	7.5	-6.7
681.5	569.5	-457.2	8.2	9.8	-6
668	581.6	-455.5	6.3	13.2	-1
647.9	606.9	-445.9	5.6	15.8	1
616.3	654.9	-454.1	9.1	20.3	0.8
572.9	687.9	-438.5	16.8	26.9	-0.2
