UTC_Time,Vin,TC1,TC2,Rh1,Vh1,Ah1,Acp1,Dty1,Err1,Rh2,Vh2,Ah2,Acp2,Dty2,Err2,Accel_x,Accel_y,Accel_z,gyro_x,gyro_y,gyro_z,Temp_c,Accel_x_h,Accel_y_h,Accel_z_h,gyro_x_h,gyro_y_h,gyro_z_h
2026_06_10_15_44_44.323,3.757,27.1,0,0.757,0,0,0,0.048, ,0,0,0,0,0, ,-36.9,157.3,990.4,-0.6,-0.4,-1.8,25,-0.158743,-0.157467,-1.03448,-0.00467661,0.00357751,0.00512931
2026_06_10_15_44_44.343,3.757,27.1,0,0.759,0,0,0,0.048, ,0,0,0,0,0, ,-38.3,159.7,988.7,-0.9,-0.4,-1.8,25,-0.156938,-0.150766,-0.988335,-0.0111775,0.00266902,0.00309975
2026_06_10_15_44_44.362,3.757,27.1,0,0.756,0,0,0,0.048, ,0,0,0,0,0, ,-36.9,155.3,987.6,-0.6,-0.4,-1.8,25,-0.154449,-0.192695,-1.00825,-0.0173044,0.00179194,0.00115446
2026_06_10_15_44_44.381,3.757,27.1,0,0.759,0,0,0,0.048, ,0,0,0,0,0, ,-37.9,158.9,989.9,-0.9,-0.4,-1.8,25,-0.141511,-0.251234,-0.992786,-0.0230456,0.000949046,-0.000701127
2026_06_10_15_44_44.402,3.757,27.5,0,0.759,0,0,0,0.049, ,0,0,0,0,0, ,-37.8,157.9,987.6,-0.3,-0.4,-1.8,25,-0.15058,-0.241909,-0.973191,-0.0210352,0.00014281,-0.00246225
2026_06_10_15_44_44.422,3.757,27.2,0,0.758,0,0,0,0.046, ,0,0,0,0,0, ,-38.3,160.1,989.5,-1.2,-0.4,-1.8,25,-0.168271,-0.202423,-0.95957,-0.0263762,-0.00062459,-0.00412487
2026_06_10_15_44_44.442,3.757,27.5,0,0.759,0,0,0,0.048, ,0,0,0,0,0, ,-37.8,160,989.7,-0.5,-0.4,-1.8,25,-0.184265,-0.11238,-0.890392,-0.0362295,-0.00135128,-0.00568561
2026_06_10_15_44_44.461,3.757,27.2,0,0.758,0,0,0,0.046, ,0,0,0,0,0, ,-37.7,158.2,988.4,-0.4,-0.4,-1.7,25,-0.183853,-0.07279,-0.847191,-0.0258038,-0.00203566,-0.00468964
2026_06_10_15_44_44.481,3.757,27.5,0,0.758,0,0,0,0.049, ,0,0,0,0,0, ,-37.4,159.4,988,-1,-0.4,-1.8,25,-0.172747,-0.0494965,-0.843621,-0.0280231,-0.00267645,-0.0037194
2026_06_10_15_44_44.501,3.757,27.3,0,0.758,0,0,0,0.047, ,0,0,0,0,0, ,-36.4,157.9,989,-0.6,-0.4,-1.7,25,-0.129456,-0.0344579,-0.821356,-0.0348997,-0.00327263,-0.00277841
2026_06_10_15_44_44.521,3.757,27.6,0,0.759,0,0,0,0.049, ,0,0,0,0,0, ,-38.6,157.3,989.5,-0.5,-0.5,-1.7,25,-0.117076,-0.0714822,-0.759353,-0.0290063,-0.00627559,0.000582278
2026_06_10_15_44_44.540,3.757,27.5,0,0.76,0,0,0,0.047, ,0,0,0,0,0, ,-37.7,158.2,990.6,-0.9,-0.4,-1.7,25,-0.136604,-0.0989819,-0.657415,-0.0306154,-0.00910036,0.00377528
2026_06_10_15_44_44.560,3.757,27.6,0,0.759,0,0,0,0.048, ,0,0,0,0,0, ,-38.8,157.2,988.7,-0.7,-0.4,-1.8,25,-0.159406,-0.127097,-0.576852,-0.036899,-0.00928958,0.00434092
2026_06_10_15_44_44.580,3.757,27.6,0,0.758,0,0,0,0.047, ,0,0,0,0,0, ,-35.7,159.5,991.5,-1,-0.4,-1.8,25,-0.131261,-0.121329,-0.475328,-0.0451448,-0.00942373,0.00240527
2026_06_10_15_44_44.600,3.757,27.6,0,0.759,0,0,0,0.047, ,0,0,0,0,0, ,-36.7,158.2,987.6,0,-0.4,-1.8,25,-0.0523537,-0.0907249,-0.403415,-0.0355986,-0.00950487,0.000552695
2026_06_10_15_44_44.620,3.757,27.7,0,0.761,0,0,0,0.047, ,0,0,0,0,0, ,-36.9,156.3,990.2,-0.9,-0.5,-1.7,25,-0.00648422,-0.139643,-0.364919,-0.023893,-0.0119873,0.00124041
2026_06_10_15_44_44.639,3.757,27.7,0,0.759,0,0,0,0.047, ,0,0,0,0,0, ,-36.9,162.2,987.3,-1.2,-0.4,-1.7,25,0.0322632,-0.0873878,-0.333868,-0.0420696,-0.014289,0.00434045
2026_06_10_15_44_44.659,3.757,27.7,0,0.758,0,0,0,0.047, ,0,0,0,0,0, ,-36.9,159.9,989.8,0,-0.4,-1.8,25,0.0689514,0.0510131,-0.312504,-0.037078,-0.0139552,0.00481489
2026_06_10_15_44_44.679,3.757,27.7,0,0.758,0,0,0,0.047, ,0,0,0,0,0, ,-37.5,156.9,989.1,-1.1,-0.5,-1.8,25,0.0887875,0.0524104,-0.246509,-0.0296963,-0.0160211,0.00279019
2026_06_10_15_44_44.699,3.757,27.8,0,0.758,0,0,0,0.048, ,0,0,0,0,0, ,-37.9,158.4,989.6,-0.5,-0.4,-1.7,25,0.0826916,0.0166984,-0.187441,-0.0347911,-0.0179068,0.00330319
2026_06_10_15_44_44.718,3.757,27.8,0,0.759,0,0,0,0.047, ,0,0,0,0,0, ,-36.6,156.4,989.9,-0.9,-0.5,-1.7,25,0.0985566,-0.0296052,-0.110727,-0.0345602,-0.0196117,0.00622691
2026_06_10_15_44_44.738,3.757,27.7,0,0.759,0,0,0,0.047, ,0,0,0,0,0, ,-38.4,160.4,989.2,-0.7,-0.4,-1.7,25,0.100897,-0.0244489,-0.0470373,-0.0390747,-0.0211364,0.00897655
2026_06_10_15_44_44.759,3.757,27.8,0,0.757,0,0,0,0.048, ,0,0,0,0,0, ,-36.4,156.8,990.3,-0.5,-0.5,-1.8,25,0.10753,-0.00961602,0.0235683,-0.0333665,-0.0224821,0.00909494
2026_06_10_15_44_44.778,3.757,27.9,0,0.76,0,0,0,0.048, ,0,0,0,0,0, ,-36.6,160.2,988.2,-0.9,-0.4,-1.8,25,0.157446,-0.000367489,0.0660734,-0.0326782,-0.0236511,0.00671055
2026_06_10_15_44_44.798,3.757,27.9,0,0.759,0,0,0,0.047, ,0,0,0,0,0, ,-37.4,158.5,989.2,-0.5,-0.3,-1.8,25,0.179617,0.0501159,0.0791951,-0.0318626,-0.0197418,0.00441002
2026_06_10_15_44_44.818,3.757,28,0,0.759,0,0,0,0.047, ,0,0,0,0,0, ,-38.3,159,990.3,-0.9,-0.4,-1.9,25,0.158128,0.0684506,0.142778,-0.03093,-0.0159269,-0.000251577
2026_06_10_15_44_44.837,3.757,28,0,0.759,0,0,0,0.047, ,0,0,0,0,0, ,-38.8,158.3,987.7,-0.4,-0.4,-1.8,25,0.102584,0.0806446,0.165756,-0.0274385,-0.0146728,-0.00468331
2026_06_10_15_44_44.857,3.757,28,0,0.759,0,0,0,0.047, ,0,0,0,0,0, ,-36.3,157.7,990.9,-0.8,-0.5,-1.8,25,0.0983018,0.0599649,0.201504,-0.0215308,-0.0158601,-0.00642246
2026_06_10_15_44_44.877,3.757,28.1,0,0.759,0,0,0,0.047, ,0,0,0,0,0, ,-36.8,159.4,988.2,-0.8,-0.4,-1.7,25,0.142788,0.0669774,0.246767,-0.0256154,-0.016911,-0.00559251
2026_06_10_15_44_44.897,3.757,28.1,0,0.759,0,0,0,0.047, ,0,0,0,0,0, ,-37.7,157.7,990.2,-0.7,-0.5,-1.9,25,0.150059,0.0733159,0.271429,-0.0269213,-0.017827,-0.00722786
2026_06_10_15_44_44.917,3.757,28.1,0,0.76,0,0,0,0.047, ,0,0,0,0,0, ,-37.7,158.2,989.6,-0.7,-0.4,-1.7,25,0.134164,0.0495564,0.327872,-0.0255783,-0.0186102,-0.00874738
2026_06_10_15_44_44.937,3.757,28.2,0,0.758,0,0,0,0.047, ,0,0,0,0,0, ,-37.1,158.3,987.9,-0.5,-0.4,-1.8,25,0.1331,0.041431,0.323533,-0.0192708,-0.0168111,-0.00769711
2026_06_10_15_44_44.957,3.757,28.2,0,0.758,0,0,0,0.046, ,0,0,0,0,0, ,-37.9,160.4,987.9,-0.9,-0.4,-1.8,25,0.126529,0.0874474,0.276126,-0.018082,-0.0150174,-0.00911258
2026_06_10_15_44_44.977,3.757,28.3,0,0.758,0,0,0,0.046, ,0,0,0,0,0, ,-36.4,159.3,987.7,-0.7,-0.4,-1.8,25,0.136821,0.155298,0.224778,-0.0217667,-0.0132377,-0.0104137
2026_06_10_15_44_44.996,3.757,28.2,0,0.759,0,0,0,0.046, ,0,0,0,0,0, ,-36.8,159.1,989.2,-0.7,-0.4,-1.7,25,0.172907,0.187177,0.206719,-0.0202591,-0.01148,-0.00914756
2026_06_10_15_44_45.016,3.757,28.3,0,0.76,0,0,0,0.047, ,0,0,0,0,0, ,-37.7,159,989,-0.7,-0.5,-1.8,25,0.174494,0.209214,0.220405,-0.0187256,-0.0122041,-0.00789842
2026_06_10_15_44_45.035,3.757,28.3,0,0.759,0,0,0,0.046, ,0,0,0,0,0, ,-38.4,159.4,990.2,-0.5,-0.5,-1.7,25,0.135909,0.236495,0.256855,-0.0122707,-0.0152847,-0.00667161
2026_06_10_15_44_45.056,3.757,28.3,0,0.76,0,0,0,0.046, ,0,0,0,0,0, ,-37.4,158.5,988.5,-0.7,-0.4,-1.8,25,0.105902,0.249013,0.27799,-0.00607184,-0.0156868,-0.00547209
2026_06_10_15_44_45.075,3.757,28.3,0,0.758,0,0,0,0.047, ,0,0,0,0,0, ,-38,160.6,989.6,-0.8,-0.4,-1.8,25,0.0866538,0.289115,0.282005,-0.0075036,-0.0135396,-0.0067566
2026_06_10_15_44_45.095,3.757,28.4,0,0.759,0,0,0,0.047, ,0,0,0,0,0, ,-38,159.6,990.7,0.6,-0.4,-1.7,25,0.0532096,0.352799,0.338381,0.0230499,-0.011431,-0.00549264
2026_06_10_15_44_45.114,3.757,28.4,0,0.758,0,0,0,0.046, ,0,0,0,0,0, ,-36.4,148.3,988.2,-3.1,-0.4,-1.9,25,0.0603779,0.110006,0.355996,-0.00440827,-0.00936952,-0.00671577
2026_06_10_15_44_45.134,3.757,28.4,0,0.759,0,0,0,0.046, ,0,0,0,0,0, ,-38.4,172.7,989,-0.8,-0.4,-1.7,25,0.0570885,0.199811,0.329305,-0.0648284,-0.00736294,-0.00784582
2026_06_10_15_44_45.154,3.757,28.4,0,0.758,0,0,0,0.046, ,0,0,0,0,0, ,-36.8,151.3,989.1,1.3,-0.4,-1.7,25,0.0438704,0.357791,0.324368,-0.0140707,-0.00541849,-0.00397745
2026_06_10_15_44_45.174,3.757,28.5,0,0.76,0,0,0,0.047, ,0,0,0,0,0, ,-39.5,156.3,988.1,-2.7,-0.5,-1.9,25,0.00411062,0.104106,0.296005,-0.012324,-0.00599485,-0.00518353
