time_theta_s,theta_gyro_only_deg,time_quat_s,quat_y_unwrap_deg
17.151999950408936,80.1294767251787,17.340001,-323.524039023754
17.171000003814697,79.9872068590058,17.359999000000002,-324.0430948250372
17.19099998474121,79.94861524325505,17.38,-324.5267954030227
17.210999965667725,79.859799980043,17.400000000000002,-324.9817533957148
17.230000019073486,79.81093380353295,17.420001,-325.4140884195978
17.25100016593933,79.65209441799205,17.439999,-325.8256628144164
17.269999980926514,79.53532441394847,17.46,-326.2164256563566
17.289999961853027,79.33761241082803,17.48,-326.59329748482384
17.31000018119812,79.081279407472,17.5,-326.96042562665775
17.330000162124634,78.80708034533637,17.520001,-327.31791610712725
17.348999977111816,78.53512392510825,17.539999,-327.6676122181981
17.36899995803833,78.18896713409431,17.56,-328.0225614880886
17.388000011444092,77.67433651679602,17.580000000000002,-328.40121376919745
17.409000158309937,76.96221206506227,17.600001,-328.81341258503727
17.42900013923645,76.30173606138085,17.619999,-329.2600116758642
17.447999954223633,75.7108535744524,17.64,-329.73499525984863
17.468000173568726,75.1802632849359,17.66,-330.22733071743653
17.48800015449524,74.72173969027361,17.680001,-330.7302604389724
17.508000135421753,74.26760224182827,17.699999000000002,-331.24103603022905
17.526999950408936,73.84466056752814,17.72,-331.7550895047947
17.54700016975403,73.49255823159058,17.740000000000002,-332.26528133283404
17.567000150680542,73.25042011963103,17.760001,-332.76350187376545
17.585999965667725,73.10047306434123,17.779999,-333.24567683479233
17.60599994659424,72.92443607650553,17.8,-333.7111628747647
17.62600016593933,72.77562366173578,17.82,-334.1556226964814
17.646000146865845,72.72231699444461,17.840001,-334.57325649994795
17.664999961853027,72.75819906802255,17.859999000000002,-334.96206482702183
17.686000108718872,72.80407671846702,17.88,-335.32556153552923
17.710000038146973,72.77435132635416,17.900000000000002,-335.6704845558307
17.723999977111816,72.69459025188658,17.920001,-336.0016886075056
17.74399995803833,72.5691842066183,17.939999,-336.32310471943924
17.765000104904175,72.36608265487115,17.96,-336.64279795406685
17.78500008583069,72.05789774827618,17.98,-336.9664815757341
17.80400013923645,71.72863367512034,18.0,-337.2942068700942
17.824000120162964,71.36349407681887,18.020001,-337.6236213877111
17.850000143051147,70.9419122696193,18.039999,-337.95042794225577
17.86400008201599,70.76371832491968,18.06,-338.2676365114451
17.883000135421753,70.6341475522452,18.080000000000002,-338.56844199310603
17.903000116348267,70.57014418302035,18.100001,-338.8513225488325
17.92300009727478,70.53865028995695,18.119999,-339.117272734374
17.943000078201294,70.54165792810768,18.14,-339.36676915188946
17.962000131607056,70.55454955420826,18.16,-339.60164207962964
17.98200011253357,70.55889711720988,18.180001,-339.82344867730615
18.005000114440918,70.59383414426388,18.199999000000002,-340.03082639134897
18.022000074386597,70.66163822666707,18.22,-340.2218640286692
18.04200005531311,70.7323182241196,18.240000000000002,-340.399369686546
18.062000036239624,70.69608889282624,18.260001,-340.5696033374211
18.081000089645386,70.59637773230445,18.279999,-340.73584852643023
18.1010000705719,70.49424140304077,18.3,-340.89852978486425
18.121000051498413,70.41558273622675,18.32,-341.05879517818374
18.141000032424927,70.30948818494372,18.340001,-341.21787515233035
18.16100001335144,70.19862576438977,18.359999000000002,-341.37496913020556
18.180000066757202,70.13094793261429,18.38,-341.52727819863793
18.200000047683716,70.1184586364579,18.400000000000002,-341.67358742675964
18.219000101089478,70.07804222253546,18.420001,-341.81822201468736
18.23900008201599,69.96052262384848,18.439999,-341.96351436453034
18.259000062942505,69.86910312524073,18.46,-342.10762577563474
18.2810001373291,69.76897578439268,18.48,-342.24922473403603
18.299000024795532,69.68682443209309,18.5,-342.38888964778374
18.319000005722046,69.56685140336198,18.520001,-342.5270780371535
18.338000059127808,69.47325240183879,18.539999,-342.6642302548652
18.35800004005432,69.35030511157835,18.56,-342.8038524372291
18.377000093460083,69.18714578366628,18.580000000000002,-342.9491939871441
18.397000074386597,68.99422241239458,18.600001,-343.10030308687675
18.419000148773193,68.81234913848776,18.619999,-343.2538464911841
18.437999963760376,68.70710744589093,18.64,-343.4078743756086
18.457000017166138,68.60208638086883,18.66,-343.56620474264116
18.47699999809265,68.41434924657368,18.680001,-343.7334880685396
18.496999979019165,68.21557495245415,18.699999000000002,-343.91017315320767
18.516000032424927,68.04969296677446,18.72,-344.09351017705944
18.53600001335144,67.9197775947948,18.740000000000002,-344.2788787376715
18.55900001525879,67.81365067996103,18.760001,-344.4639461853942
18.575999975204468,67.72374792449637,18.779999,-344.64981227227577
18.59599995613098,67.59583498378505,18.8,-344.8383149856819
18.615000009536743,67.44614365878917,18.82,-345.02970664943234
