UTC_Time,Vin,TC1,TC2,Rh1,Vh1,Ah1,Acp1,Dty1,Err1,Rh2,Vh2,Ah2,Acp2,Dty2,Err2,Accel_x,Accel_y,Accel_z,gyro_x,gyro_y,gyro_z,Temp_c,Accel_x_h,Accel_y_h,Accel_z_h,gyro_x_h,gyro_y_h,gyro_z_h
2026_06_10_18_05_18.672,3.868,60.5,0,0.779,0,0,0,0.022, ,0,0,0,0,0, ,538,-172.3,-818.8,35.6,54.9,10.3,25,234.02,-129.921,123.121,15.6332,15.5107,3.87908
2026_06_10_18_05_18.685,3.868,60.5,0,0.781,0,0,0,0.022, ,0,0,0,0,0, ,524.2,-176,-820.5,32.3,48.8,13,25,206.379,-125.591,113.97,11.4811,8.65135,6.26044
2026_06_10_18_05_18.712,3.868,60.4,0,0.779,0,0,0,0.022, ,0,0,0,0,0, ,504.3,-180.6,-808.5,32.9,55.8,13.3,25,174.51,-122.397,118.659,11.3632,14.9109,6.1698
2026_06_10_18_05_18.724,3.868,60.5,0,0.782,0,0,0,0.022, ,0,0,0,0,0, ,503.6,-192.8,-804.1,37.8,65.6,12.5,25,163.197,-126.767,115.695,15.4215,23.5037,5.0182
2026_06_10_18_05_18.751,3.868,60.4,0,0.782,0,0,0,0.022, ,0,0,0,0,0, ,509.7,-201.1,-797.3,40.8,69.6,11.3,25,159.166,-127.089,115.237,17.3903,25.9495,3.54897
2026_06_10_18_05_18.764,3.868,60.5,0,0.778,0,0,0,0.022, ,0,0,0,0,0, ,531.9,-221.4,-765.2,43.3,67.8,8.5,25,170.99,-139.026,139.337,18.7544,22.6231,0.618015
2026_06_10_18_05_18.792,3.868,60.4,0,0.78,0,0,0,0.022, ,0,0,0,0,0, ,573.4,-243.5,-746.5,39.4,57.6,6,25,200.806,-151.981,148.976,13.8304,11.3553,-1.84347
2026_06_10_18_05_18.804,3.868,60.4,0,0.779,0,0,0,0.022, ,0,0,0,0,0, ,597.7,-262,-741.4,29.8,52.1,5.8,25,212.129,-160.656,144.843,3.68011,5.33087,-1.92504
2026_06_10_18_05_18.831,3.868,60.4,0,0.78,0,0,0,0.022, ,0,0,0,0,0, ,601.1,-270.5,-735.4,22.8,52.9,5.2,25,202.499,-159.107,141.834,-3.33086,5.78165,-2.38945
2026_06_10_18_05_18.843,3.868,60.4,0,0.779,0,0,0,0.022, ,0,0,0,0,0, ,648.4,-282.4,-732.7,24.8,62.1,5.4,25,236.018,-160.949,135.808,-1.18883,14.349,-2.04994
2026_06_10_18_05_18.871,3.868,60.4,0,0.779,0,0,0,0.022, ,0,0,0,0,0, ,697.9,-271.7,-766.6,39.8,66.6,5.4,25,269.628,-140.767,94.6654,13.4266,17.8375,-1.92502
2026_06_10_18_05_18.883,3.868,60.4,0,0.779,0,0,0,0.022, ,0,0,0,0,0, ,738.8,-294.7,-750.3,48.8,52.1,7.2,25,292.851,-154.488,104.7,21.3342,2.69234,-0.0625603
2026_06_10_18_05_18.911,3.868,60.4,0,0.782,0,0,0,0.022, ,0,0,0,0,0, ,729.9,-321.8,-709.2,44.3,45.6,13.8,25,266.377,-171.349,138.168,15.6712,-3.77368,6.34016
2026_06_10_18_05_18.926,3.868,60.4,0,0.779,0,0,0,0.022, ,0,0,0,0,0, ,703.1,-330.8,-711.3,45.7,56.2,17.5,25,224.161,-169.633,127.712,16.0736,6.73331,9.54107
2026_06_10_18_05_18.954,3.868,60.3,0,0.781,0,0,0,0.022, ,0,0,0,0,0, ,730.4,-338.2,-731.6,60.3,77.9,19.8,25,236.969,-166.47,100.248,29.2493,27.3618,11.1896
2026_06_10_18_05_18.962,3.868,60.3,0,0.782,0,0,0,0.023, ,0,0,0,0,0, ,764.5,-364,-668.8,76,99.2,22,25,255.59,-181.34,155.026,42.6886,46.3455,12.6407
2026_06_10_18_05_18.989,3.868,60.4,0,0.778,0,0,0,0.023, ,0,0,0,0,0, ,788.6,-395.8,-587.1,83.3,103.7,27.4,25,263.381,-201.121,224.79,47.1648,47.8842,17.1059
2026_06_10_18_05_19.002,3.868,60.4,0,0.78,0,0,0,0.022, ,0,0,0,0,0, ,777.2,-409.9,-545.5,75.7,95.7,32.2,25,236.278,-202.535,251.424,36.9223,37.21,20.7172
2026_06_10_18_05_19.029,3.868,60.3,0,0.781,0,0,0,0.022, ,0,0,0,0,0, ,756.3,-454.1,-471,64.8,96.4,39.4,25,201.617,-233.047,308.333,24.1044,35.6212,26.4354
2026_06_10_18_05_19.041,3.868,60.5,0,0.782,0,0,0,0.023, ,0,0,0,0,0, ,739.1,-465.3,-415.8,55.4,119.8,47.5,25,172.655,-229.704,343.062,13.522,56.1376,32.6777
2026_06_10_18_05_19.069,3.868,60.3,0,0.781,0,0,0,0.021, ,0,0,0,0,0, ,744.6,-461.3,-337.4,59.2,136.1,46.4,25,167.466,-211.828,398.168,16.3822,68.52,29.6199
2026_06_10_18_05_19.081,3.868,60.4,0,0.781,0,0,0,0.023, ,0,0,0,0,0, ,848.5,-527.5,-279.5,73.7,125.5,42.9,25,257.995,-263.103,430.04,29.4421,54.0676,24.4216
2026_06_10_18_05_19.108,3.868,60.3,0,0.779,0,0,0,0.022, ,0,0,0,0,0, ,861.8,-552.3,-244.9,62.1,104.4,50.8,25,255.169,-271.114,437.381,16.4014,30.3157,30.5927
2026_06_10_18_05_19.121,3.868,60.3,0,0.78,0,0,0,0.022, ,0,0,0,0,0, ,749,-542.3,-192,29.3,83.2,55.4,25,130.256,-244.898,462.016,-16.3987,7.91428,33.1883
2026_06_10_18_05_19.147,3.868,60.3,0,0.781,0,0,0,0.022, ,0,0,0,0,0, ,727.2,-567,-168.2,26.6,88.1,54.4,25,101.183,-253.922,456.937,-18.0171,12.1827,30.1964
2026_06_10_18_05_19.161,3.868,60.3,0,0.781,0,0,0,0.022, ,0,0,0,0,0, ,759.2,-569,-145.2,39.4,94.7,47.4,25,126.042,-240.388,451.391,-4.5092,17.8392,21.5695
2026_06_10_18_05_19.189,3.868,60.3,0,0.781,0,0,0,0.022, ,0,0,0,0,0, ,842.5,-607.9,-149.9,48.8,90.7,46.8,25,199.123,-263.454,419.328,4.87917,12.874,19.6734
2026_06_10_18_05_19.200,3.868,60.3,0,0.781,0,0,0,0.022, ,0,0,0,0,0, ,819.8,-624.1,-104,50,79.3,48.9,25,164.981,-263.106,438.277,5.74529,1.03687,20.5106
2026_06_10_18_05_19.228,3.868,60.3,0,0.782,0,0,0,0.022, ,0,0,0,0,0, ,724.2,-628,-61.8,38.4,71.3,46.3,25,62.2402,-250.854,452.483,-5.85138,-6.78257,16.74
2026_06_10_18_05_19.240,3.868,60.3,0,0.781,0,0,0,0.022, ,0,0,0,0,0, ,703.8,-613.1,-67.5,32.6,76,37.7,25,38.6689,-221.122,419.384,-11.1181,-1.81246,7.38189
2026_06_10_18_05_19.268,3.868,60.3,0,0.778,0,0,0,0.022, ,0,0,0,0,0, ,773.9,-614.6,-63.5,34.5,77.5,28.2,25,104.277,-209.101,397.706,-8.59848,-0.247717,-2.27849
2026_06_10_18_05_19.279,3.868,60.3,0,0.779,0,0,0,0.022, ,0,0,0,0,0, ,815.7,-642.3,-2.9,28.3,59.7,24.7,25,138.449,-223.215,432.224,-14.0856,-17.4903,-5.533
2026_06_10_18_05_19.306,3.868,60.3,0,0.781,0,0,0,0.022, ,0,0,0,0,0, ,791.3,-647.5,48.5,2.3,31,24.1,25,106.355,-214.655,455.719,-38.4351,-44.25,-5.77755
2026_06_10_18_05_19.318,3.868,60.3,0,0.781,0,0,0,0.022, ,0,0,0,0,0, ,765.1,-645.7,35.8,-10,27.2,25.1,25,74.4727,-199.829,415.636,-48.0182,-45.2377,-4.45595
2026_06_10_18_05_19.346,3.868,60.2,0,0.781,0,0,0,0.022, ,0,0,0,0,0, ,768.9,-674.9,-25.3,-3.4,48,28.6,25,73.6188,-215.962,331.07,-38.6932,-22.3148,-0.791059
2026_06_10_18_05_19.358,3.868,60.2,0,0.781,0,0,0,0.023, ,0,0,0,0,0, ,743.5,-685.1,-50.4,15.3,65.8,36,25,44.5065,-212.691,286.56,-18.2051,-3.69735,6.43168
2026_06_10_18_05_19.386,3.868,60.3,0,0.781,0,0,0,0.023, ,0,0,0,0,0, ,666.2,-654,-47.7,20.5,62.7,39.1,25,-33.1504,-169.578,271.715,-12.0541,-6.47759,9.04529
2026_06_10_18_05_19.398,3.868,60.2,0,0.781,0,0,0,0.022, ,0,0,0,0,0, ,642.3,-650.7,-5.3,17,48.2,34.2,25,-54.3021,-156.045,296.266,-14.7129,-20.1411,3.74339
2026_06_10_18_05_19.425,3.868,60.2,0,0.781,0,0,0,0.023, ,0,0,0,0,0, ,684.5,-697.1,38,20.4,48,34,25,-10.0788,-191.522,320.193,-10.52,-19.1076,3.32137
2026_06_10_18_05_19.438,3.868,60.1,0,0.779,0,0,0,0.023, ,0,0,0,0,0, ,689.5,-740.3,66.1,30.4,60.3,39.9,25,-4.61698,-221.735,327.925,-0.183587,-6.01802,8.83921
2026_06_10_18_05_19.465,3.868,60.2,0,0.779,0,0,0,0.024, ,0,0,0,0,0, ,649,-739.7,95.2,30.4,65.5,44.1,25,-43.6017,-207.641,336.155,-0.1724,-0.609738,12.3726
2026_06_10_18_05_19.477,3.868,60.2,0,0.779,0,0,0,0.023, ,0,0,0,0,0, ,633.1,-734.8,109.3,29.4,65.8,44.7,25,-56.3602,-190.237,329.341,-1.13143,-0.28172,12.2004
2026_06_10_18_05_19.504,3.868,60.2,0,0.781,0,0,0,0.023, ,0,0,0,0,0, ,642.2,-733.7,118.5,34.6,68.5,44.1,25,-44.103,-177.578,318.192,3.97908,2.35318,10.8752
2026_06_10_18_05_19.518,3.868,60.2,0,0.781,0,0,0,0.023, ,0,0,0,0,0, ,655.6,-770,159.5,47.1,74.2,45.9,25,-28.4238,-201.951,338.553,15.8557,7.73611,11.9576
2026_06_10_18_05_19.545,3.868,60.3,0,0.781,0,0,0,0.023, ,0,0,0,0,0, ,562.1,-800.9,258.6,44.7,73.8,53.8,25,-117.343,-219.603,414.003,12.5627,6.87688,18.8883
2026_06_10_18_05_19.556,3.868,60.1,0,0.779,0,0,0,0.022, ,0,0,0,0,0, ,440.5,-790.6,332.6,36.5,68.4,48.1,25,-228.087,-196.235,460.52,3.84697,1.22235,12.2109
2026_06_10_18_05_19.583,3.868,60.2,0,0.779,0,0,0,0.024, ,0,0,0,0,0, ,445.6,-806.2,364.2,27.9,68.3,31.4,25,-209.244,-199.402,463.094,-4.72542,1.05091,-4.72434
2026_06_10_18_05_19.596,3.868,60.1,0,0.781,0,0,0,0.023, ,0,0,0,0,0, ,512,-852,373.4,20.8,69.8,22.6,25,-132.116,-231.655,443.794,-11.3211,2.44117,-12.9683
2026_06_10_18_05_19.623,3.868,60.1,0,0.781,0,0,0,0.023, ,0,0,0,0,0, ,564.8,-871.5,342.2,22.5,78,24.1,25,-72.8739,-236.445,386.501,-8.98305,10.2426,-10.7238
2026_06_10_18_05_19.635,3.868,60.2,0,0.779,0,0,0,0.024, ,0,0,0,0,0, ,559.9,-854.3,333.8,15.8,72,25.8,25,-73.1838,-205.36,354.804,-14.9315,3.80122,-8.42209
2026_06_10_18_05_19.664,3.868,60.2,0,0.78,0,0,0,0.023, ,0,0,0,0,0, ,540.1,-856.2,325.3,12.9,66.3,28.7,25,-87.921,-194.688,324.942,-16.8333,-1.95674,-5.09723
2026_06_10_18_05_19.676,3.868,60.1,0,0.781,0,0,0,0.023, ,0,0,0,0,0, ,524.6,-860.2,348.3,15.4,74.6,29.6,25,-97.591,-186.703,327.441,-13.3837,6.2096,-3.91404
2026_06_10_18_05_19.703,3.868,60.1,0,0.781,0,0,0,0.023, ,0,0,0,0,0, ,539.5,-863.7,385.2,14.4,83.6,31.6,25,-77.198,-178.719,343.263,-13.5376,14.557,-1.73646
2026_06_10_18_05_19.714,3.868,60.1,0,0.781,0,0,0,0.023, ,0,0,0,0,0, ,553.3,-866.8,388,13.3,86.8,38.8,25,-59.1142,-170.834,325.06,-13.7792,16.7724,5.34998
2026_06_10_18_05_19.742,3.868,60.1,0,0.779,0,0,0,0.023, ,0,0,0,0,0, ,491.8,-857.5,380,13.9,83.7,44.5,25,-115.138,-151.407,297.495,-12.3578,12.7448,10.5503
2026_06_10_18_05_19.754,3.868,60.1,0,0.781,0,0,0,0.023, ,0,0,0,0,0, ,422.7,-832.3,391.4,7.8,77.8,46.6,25,-175.116,-117.748,290.419,-17.5189,6.24794,11.9434
2026_06_10_18_05_19.782,3.868,60.1,0,0.779,0,0,0,0.023, ,0,0,0,0,0, ,367.1,-814.6,423,7.6,77.4,45.8,25,-218.351,-93.4123,303.359,-16.6452,5.47939,10.44
