UTC_Time,Time_s,q0,q1,q2,q3,R11,R12,R13,R21,R22,R23,R31,R32,R33,roll,pitch,yaw,aax,aay,aaz
2026_06_09_01_08_35.102,0.320000,0.99999952,0.00063755,-0.00048789,-0.00064829,0.99999869,0.00129597,-0.00097661,-0.00129721,0.99999833,-0.00127447,0.00097496,0.00127574,0.99999869,0.073100,0.055960,0.074259,53.997025,14.416541,17.172636
2026_06_09_01_08_35.122,0.340000,0.99999940,0.00073317,-0.00052782,-0.00071401,0.99999845,0.00142724,-0.00105668,-0.00142879,0.99999791,-0.00146558,0.00105459,0.00146709,0.99999839,0.084064,0.060548,0.081781,38.875011,14.601163,20.660450
2026_06_09_01_08_35.142,0.360000,0.99999917,0.00083365,-0.00056658,-0.00077861,0.99999815,0.00155628,-0.00113447,-0.00155817,0.99999738,-0.00166642,0.00113187,0.00166819,0.99999797,0.095587,0.065005,0.089175,24.612719,14.079487,25.026308
2026_06_09_01_08_35.162,0.380000,0.99999905,0.00093400,-0.00060320,-0.00083972,0.99999785,0.00167831,-0.00120797,-0.00168056,0.99999684,-0.00186699,0.00120483,0.00186902,0.99999756,0.107095,0.069217,0.096167,10.374726,13.563794,29.460526
2026_06_09_01_08_35.182,0.400000,0.99999887,0.00102902,-0.00063930,-0.00089762,0.99999756,0.00179391,-0.00128045,-0.00179655,0.99999624,-0.00205688,0.00127676,0.00205918,0.99999708,0.117991,0.073370,0.102791,-4.200888,12.988098,32.471245
2026_06_09_01_08_35.201,0.420000,0.99999869,0.00111849,-0.00067431,-0.00095347,0.99999726,0.00190542,-0.00135074,-0.00190844,0.99999571,-0.00223569,0.00134648,0.00223827,0.99999660,0.128253,0.077398,0.109181,-17.389416,12.862065,33.443783
2026_06_09_01_08_35.222,0.440000,0.99999857,0.00120397,-0.00070938,-0.00100624,0.99999696,0.00201077,-0.00142118,-0.00201418,0.99999505,-0.00240650,0.00141633,0.00240936,0.99999607,0.138056,0.081433,0.115217,-29.074678,13.329767,33.675915
2026_06_09_01_08_35.241,0.460000,0.99999839,0.00128863,-0.00074649,-0.00105026,0.99999666,0.00209860,-0.00149569,-0.00210245,0.99999446,-0.00257569,0.00149027,0.00257883,0.99999559,0.147767,0.085703,0.120250,-40.670082,13.685400,34.593243
2026_06_09_01_08_35.262,0.480000,0.99999821,0.00137168,-0.00078580,-0.00108361,0.99999642,0.00216506,-0.00157456,-0.00216937,0.99999386,-0.00274166,0.00156862,0.00274507,0.99999499,0.157293,0.090223,0.124058,-54.020859,14.176547,35.986801
2026_06_09_01_08_35.281,0.500000,0.99999803,0.00144766,-0.00082441,-0.00111391,0.99999619,0.00222544,-0.00165204,-0.00223021,0.99999332,-0.00289348,0.00164559,0.00289716,0.99999446,0.166007,0.094662,0.127518,-68.156593,14.914835,37.274982
2026_06_09_01_08_35.300,0.520000,0.99999785,0.00151569,-0.00086002,-0.00114759,0.99999589,0.00229258,-0.00172352,-0.00229779,0.99999279,-0.00302941,0.00171656,0.00303335,0.99999392,0.173812,0.098758,0.131365,-78.451820,15.011997,37.861160
2026_06_09_01_08_35.321,0.540000,0.99999768,0.00157968,-0.00089433,-0.00118132,0.99999559,0.00235981,-0.00179239,-0.00236546,0.99999219,-0.00315723,0.00178492,0.00316146,0.99999338,0.181152,0.102704,0.135217,-86.436447,15.126493,37.656670
2026_06_09_01_08_35.341,0.560000,0.99999750,0.00164206,-0.00092723,-0.00120979,0.99999535,0.00241653,-0.00185844,-0.00242262,0.99999166,-0.00328187,0.00185049,0.00328635,0.99999291,0.188309,0.106488,0.138467,-94.802620,15.910213,36.891376
2026_06_09_01_08_35.361,0.580000,0.99999732,0.00170347,-0.00095651,-0.00123311,0.99999511,0.00246296,-0.00191721,-0.00246947,0.99999118,-0.00340457,0.00190881,0.00340929,0.99999237,0.195353,0.109856,0.141128,-103.515312,17.037247,35.860531
2026_06_09_01_08_35.381,0.600000,0.99999720,0.00176451,-0.00098089,-0.00125399,0.99999493,0.00250451,-0.00196621,-0.00251143,0.99999064,-0.00352656,0.00195735,0.00353148,0.99999183,0.202354,0.112664,0.143509,-111.386665,18.025032,34.919785
2026_06_09_01_08_35.401,0.620000,0.99999702,0.00182705,-0.00100009,-0.00127329,0.99999475,0.00254293,-0.00200482,-0.00255024,0.99999011,-0.00365154,0.00199551,0.00365663,0.99999130,0.209526,0.114876,0.145710,-116.788742,17.788155,34.525703
2026_06_09_01_08_35.420,0.640000,0.99999690,0.00189026,-0.00101340,-0.00128758,0.99999464,0.00257133,-0.00203166,-0.00257899,0.99998951,-0.00377790,0.00202192,0.00378312,0.99999082,0.216774,0.116414,0.147337,-120.653748,16.921583,33.548458
2026_06_09_01_08_35.440,0.660000,0.99999678,0.00195339,-0.00101891,-0.00129574,0.99999458,0.00258749,-0.00204288,-0.00259545,0.99998903,-0.00390412,0.00203275,0.00390940,0.99999028,0.224010,0.117057,0.148264,-125.821213,16.575653,31.299698
2026_06_09_01_08_35.459,0.680000,0.99999666,0.00202254,-0.00101271,-0.00129930,0.99999458,0.00259450,-0.00203067,-0.00260269,0.99998844,-0.00404243,0.00202016,0.00404769,0.99998975,0.231934,0.116357,0.148665,-131.362671,16.313828,28.431364
2026_06_09_01_08_35.479,0.700000,0.99999642,0.00210307,-0.00099669,-0.00130017,0.99999464,0.00259615,-0.00199884,-0.00260453,0.99998778,-0.00420353,0.00198790,0.00420871,0.99998915,0.241160,0.114533,0.148760,-133.557800,15.761724,25.450607
2026_06_09_01_08_35.499,0.720000,0.99999630,0.00219786,-0.00098296,-0.00130022,0.99999470,0.00259612,-0.00197163,-0.00260476,0.99998695,-0.00439316,0.00196020,0.00439827,0.99998838,0.252022,0.112974,0.148758,-132.228256,15.165600,24.803167
2026_06_09_01_08_35.519,0.740000,0.99999607,0.00230104,-0.00097704,-0.00129779,0.99999470,0.00259108,-0.00196005,-0.00260007,0.99998605,-0.00459953,0.00194810,0.00460460,0.99998748,0.263845,0.112311,0.148469,-129.212845,14.817443,27.335239
2026_06_09_01_08_35.539,0.760000,0.99999583,0.00240142,-0.00097087,-0.00129087,0.99999475,0.00257706,-0.00194793,-0.00258639,0.99998516,-0.00480032,0.00193553,0.00480533,0.99998659,0.275347,0.111617,0.147666,-127.629623,15.541978,30.355059
2026_06_09_01_08_35.559,0.780000,0.99999565,0.00249351,-0.00095935,-0.00127927,0.99999487,0.00255375,-0.00192506,-0.00256332,0.99998426,-0.00498455,0.00191230,0.00498946,0.99998569,0.285898,0.110306,0.146330,-126.836250,16.501043,31.299522
2026_06_09_01_08_35.578,0.800000,0.99999547,0.00257599,-0.00094108,-0.00126114,0.99999505,0.00251743,-0.00188865,-0.00252712,0.99998355,-0.00514958,0.00187566,0.00515433,0.99998498,0.295345,0.108220,0.144249,-123.245338,15.964854,30.071899
2026_06_09_01_08_35.599,0.820000,0.99999535,0.00265106,-0.00090797,-0.00122917,0.99999535,0.00245351,-0.00182244,-0.00246314,0.99998289,-0.00529986,0.00180940,0.00530432,0.99998432,0.303940,0.104426,0.140587,-117.254463,14.455592,28.758205
2026_06_09_01_08_35.618,0.840000,0.99999529,0.00271188,-0.00084250,-0.00117601,0.99999583,0.00234744,-0.00169137,-0.00235658,0.99998254,-0.00542175,0.00167861,0.00542572,0.99998385,0.310896,0.096916,0.134508,-113.983856,14.139779,30.066191
2026_06_09_01_08_35.638,0.860000,0.99999547,0.00273454,-0.00067982,-0.00110023,0.99999666,0.00219674,-0.00136566,-0.00220418,0.99998260,-0.00546756,0.00135362,0.00547055,0.99998415,0.313465,0.078252,0.125873,-114.911072,15.597921,45.340412
2026_06_09_01_08_35.658,0.880000,0.99999595,0.00266024,-0.00023845,-0.00100157,0.99999785,0.00200186,-0.00048224,-0.00200439,0.99998385,-0.00531998,0.00047158,0.00532093,0.99998575,0.304891,0.027632,0.114706,-115.125854,16.574726,86.811203
2026_06_09_01_08_35.677,0.900000,0.99999642,0.00240710,0.00078201,-0.00086194,0.99999732,0.00172765,0.00155987,-0.00172012,0.99998695,-0.00481553,-0.00156817,0.00481283,0.99998719,0.275777,-0.089381,0.098994,-96.125778,11.598350,155.573196
2026_06_09_01_08_35.698,0.920000,0.99999410,0.00193675,0.00278102,-0.00060378,0.99998379,0.00121833,0.00555967,-0.00119679,0.99999177,-0.00387683,-0.00556435,0.00387012,0.99997705,0.221762,-0.318571,0.069812,-32.118565,-0.832338,227.406204
2026_06_09_01_08_35.717,0.940000,0.99997962,0.00125259,0.00627038,-0.00009785,0.99992132,0.00021140,0.01254026,-0.00017999,0.99999684,-0.00250635,-0.01254075,0.00250389,0.99991822,0.143485,-0.718576,0.012114,62.473503,-20.160786,298.198120
2026_06_09_01_08_35.736,0.960000,0.99993247,0.00035965,0.01158912,0.00078361,0.99973017,-0.00155877,0.02317724,0.00157544,0.99999851,-0.00070109,-0.02317611,0.00073741,0.99973112,0.042265,-1.328175,-0.089342,147.675018,-39.428581,387.562164
2026_06_09_01_08_35.756,0.980000,0.99982190,-0.00085231,0.01872908,0.00214544,0.99928921,-0.00432203,0.03744783,0.00425818,0.99998933,0.00178469,-0.03745514,-0.00162396,0.99929696,-0.093118,-2.146262,-0.247827,226.589203,-41.682106,494.698456
2026_06_09_01_08_35.777,1.000000,0.99960864,-0.00247157,0.02756461,0.00409201,0.99844688,-0.00831707,0.05508741,0.00804456,0.99995428,0.00516680,-0.05512786,-0.00471562,0.99846816,-0.270618,-3.158107,-0.477299,319.625061,-36.231445,613.673828
2026_06_09_01_08_35.797,1.020000,0.99924761,-0.00425985,0.03796825,0.00667352,0.99702775,-0.01366047,0.07582252,0.01301351,0.99987465,0.00902004,-0.07593623,-0.00800652,0.99708050,-0.460107,-4.348804,-0.785029,388.721008,-44.068344,720.282288
2026_06_09_01_08_35.817,1.040000,0.99869394,-0.00575579,0.04981228,0.00981013,0.99484497,-0.02016805,0.09938151,0.01902122,0.99974126,0.01247387,-0.09960737,-0.01051921,0.99497122,-0.605775,-5.703977,-1.161459,362.369446,-72.297318,820.099915
2026_06_09_01_08_35.836,1.060000,0.99790490,-0.00656827,0.06296830,0.01332987,0.99171460,-0.02743107,0.12549764,0.02577670,0.99955833,0.01478773,-0.12584785,-0.01143029,0.99198371,-0.660219,-7.210026,-1.584528,214.147156,-123.801712,960.003906
2026_06_09_01_08_35.856,1.080000,0.99683940,-0.00661274,0.07730493,0.01707140,0.98746502,-0.03505728,0.15389542,0.03301249,0.99932969,0.01582308,-0.15434699,-0.01054426,0.98796046,-0.611526,-8.853392,-2.033427,-37.089615,-181.133347,1190.128418
2026_06_09_01_08_35.875,1.100000,0.99545723,-0.00598987,0.09268741,0.02093057,0.98194194,-0.04278134,0.18428196,0.04056060,0.99905205,0.01580533,-0.18478344,-0.00804533,0.98274636,-0.469080,-10.620054,-2.494874,-323.420654,-233.993195,1524.835327
2026_06_09_01_08_35.896,1.120000,0.99372399,-0.00480875,0.10894965,0.02488817,0.97502112,-0.05051177,0.21629240,0.04841612,0.99871492,0.01498025,-0.21677111,-0.00413402,0.97621369,-0.242650,-12.492280,-2.965822,-585.077698,-287.301971,1937.473999
2026_06_09_01_08_35.915,1.140000,0.99163997,-0.00318210,0.12570140,0.02896862,0.96671999,-0.05825287,0.24911670,0.05665289,0.99830139,0.01359378,-0.24948542,0.00097180,0.96837807,0.057503,-14.426311,-3.448628,-840.511597,-334.594757,2396.817139
2026_06_09_01_08_35.936,1.160000,0.98925668,-0.00119749,0.14238352,0.03311800,0.95726025,-0.06586540,0.28162837,0.06518339,0.99780351,0.01180016,-0.28178698,0.00706167,0.95945102,0.421727,-16.358620,-3.936389,-1114.199341,-367.926453,2876.086914
2026_06_09_01_08_35.957,1.180000,0.98665285,0.00107268,0.15852349,0.03722134,0.94696975,-0.07310899,0.31289515,0.07378917,0.99722683,0.00968418,-0.31273547,0.01391764,0.94973832,0.839625,-18.235136,-4.414979,-1374.251465,-392.576996,3365.104004
2026_06_09_01_08_35.975,1.200000,0.98391461,0.00356150,0.17378987,0.04118915,0.93620110,-0.07981531,0.34228221,0.08229113,0.99658155,0.00730809,-0.34169540,0.02132494,0.93956882,1.300287,-20.017454,-4.873296,-1578.584473,-422.404724,3865.510254
2026_06_09_01_08_35.995,1.220000,0.98112684,0.00617074,0.18795753,0.04498933,0.92529583,-0.08596080,0.36937559,0.09060014,0.99587578,0.00480361,-0.36826509,0.02902072,0.92926776,1.788878,-21.678709,-5.307985,-1730.096436,-462.398682,4367.711914
2026_06_09_01_08_36.015,1.240000,0.97836721,0.00878361,0.20089571,0.04859492,0.91455889,-0.09155818,0.39395323,0.09861653,0.99512279,0.00233783,-0.39224586,0.03671221,0.91912752,2.287487,-23.202415,-5.717359,-1854.157715,-508.849548,4854.891602
2026_06_09_01_08_36.034,1.260000,0.97569501,0.01133050,0.21258524,0.05194758,0.90421796,-0.09655259,0.41601390,0.10618738,0.99434614,-0.00002364,-0.41365951,0.04419680,0.90935826,2.782716,-24.584993,-6.095409,-1962.904663,-549.134033,5282.265137
2026_06_09_01_08_36.054,1.280000,0.97316712,0.01380763,0.22300547,0.05498801,0.89448977,-0.10086669,0.43556172,0.11318339,0.99357134,-0.00234900,-0.43252468,0.05139951,0.90015584,3.268320,-25.822945,-6.434226,-2053.050293,-585.768616,5643.228516
2026_06_09_01_08_36.074,1.300000,0.97085065,0.01620029,0.23207626,0.05768220,0.88562673,-0.10448220,0.45249170,0.11952101,0.99282062,-0.00468279,-0.44875383,0.05822947,0.89175630,3.736243,-26.905643,-6.728889,-2118.603027,-627.266785,5970.877930
2026_06_09_01_08_36.094,1.320000,0.96880126,0.01847314,0.23975028,0.06002276,0.87783414,-0.10744237,0.46675837,0.12515813,0.99211204,-0.00701265,-0.46232313,0.06457455,0.88435709,4.176556,-27.826130,-6.978515,-2164.835205,-666.807007,6255.466309
2026_06_09_01_08_36.114,1.340000,0.96706223,0.02059919,0.24600583,0.06202921,0.87126702,-0.10983716,0.47836140,0.13010725,0.99145609,-0.00932231,-0.47325042,0.07036050,0.87811363,4.581481,-28.580542,-7.185676,-2204.089355,-702.477905,6485.581055
2026_06_09_01_08_36.134,1.360000,0.96567154,0.02255093,0.25082001,0.06371239,0.86606014,-0.11173803,0.48729303,0.13436292,0.99086440,-0.01159289,-0.48154595,0.07551426,0.87316155,4.943217,-29.164963,-7.352162,-2248.054932,-728.975037,6670.381836
2026_06_09_01_08_36.154,1.380000,0.96466398,0.02430579,0.25416940,0.06504199,0.86233491,-0.11313175,0.49353793,0.13784291,0.99035752,-0.01383048,-0.48721436,0.07995721,0.86961430,5.253711,-29.575563,-7.474634,-2306.631592,-744.293579,6812.380371
2026_06_09_01_08_36.173,1.400000,0.96406096,0.02584417,0.25605938,0.06597017,0.86016309,-0.11396325,0.49712360,0.14043382,0.98996001,-0.01604615,-0.49030381,0.08361527,0.86753136,5.505739,-29.812077,-7.547734,-2368.470459,-752.966064,6901.587402
2026_06_09_01_08_36.193,1.420000,0.96385491,0.02715512,0.25656825,0.06647696,0.85950708,-0.11421400,0.49819952,0.14208257,0.98968685,-0.01823544,-0.49097878,0.08645895,0.86687064,5.696084,-29.883154,-7.569856,-2412.205322,-757.623962,6936.666992
2026_06_09_01_08_36.212,1.440000,0.96402973,0.02823634,0.25576514,0.06658643,0.86030090,-0.11393885,0.49689069,0.14282633,0.98953789,-0.02038036,-0.48937008,0.08850230,0.86757380,5.825096,-29.796696,-7.544942,-2443.501465,-756.243469,6911.604492
2026_06_09_01_08_36.233,1.460000,0.96458089,0.02908974,0.25364521,0.06634532,0.86252481,-0.11323391,0.49318260,0.14274780,0.98950416,-0.02246247,-0.48546273,0.08977516,0.86963582,5.894374,-29.552156,-7.479679,-2478.741943,-747.273804,6833.856445
2026_06_09_01_08_36.254,1.480000,0.96548879,0.02972038,0.25024161,0.06578229,0.86610365,-0.11214957,0.48712108,0.14189868,0.98957878,-0.02446646,-0.47930077,0.09031233,0.87299168,5.906761,-29.153681,-7.378576,-2525.666260,-731.682495,6721.714844
2026_06_09_01_08_36.272,1.500000,0.96670145,0.03013809,0.24570101,0.06489224,0.87084001,-0.11065292,0.47895053,0.14027277,0.98976141,-0.02638090,-0.47112760,0.09015726,0.87744540,5.866969,-28.618990,-7.241992,-2578.945313,-708.457825,6574.575684
2026_06_09_01_08_36.292,1.520000,0.96816695,0.03036208,0.24016164,0.06366567,0.87653816,-0.10869437,0.46889916,0.13786159,0.99004966,-0.02821102,-0.46116707,0.08937122,0.88280106,5.781125,-27.964922,-7.069350,-2624.571289,-679.172302,6383.777344
2026_06_09_01_08_36.312,1.540000,0.96985310,0.03041216,0.23366725,0.06212642,0.88307983,-0.10629434,0.45702460,0.13471964,0.99043083,-0.02995683,-0.44946703,0.08802447,0.88894945,5.655455,-27.197279,-6.864050,-2653.005859,-644.981750,6155.951172
2026_06_09_01_08_36.331,1.560000,0.97173440,0.03029927,0.22621651,0.06033569,0.89037138,-0.10355214,0.44330099,0.13096893,0.99088311,-0.03158783,-0.43598846,0.08618355,0.89581609,5.495732,-26.316626,-6.634310,-2667.481934,-605.931274,5901.727539
2026_06_09_01_08_36.351,1.580000,0.97377241,0.03003206,0.21785444,0.05835086,0.89826924,-0.10055569,0.42778608,0.12672615,0.99138653,-0.03306479,-0.42077652,0.08391276,0.90327501,5.307841,-25.329006,-6.387786,-2680.737061,-560.964966,5631.461914
2026_06_09_01_08_36.372,1.600000,0.97591531,0.02952508,0.20871326,0.05618312,0.90656447,-0.09733539,0.41069058,0.12198449,0.99194348,-0.03417563,-0.40405533,0.08108028,0.91113406,5.085634,-24.250010,-6.128669,-2632.562988,-480.107635,5352.880859
2026_06_09_01_08_36.396,1.620000,0.97809917,0.02877747,0.19898978,0.05382285,0.91501236,-0.09383533,0.39236125,0.11674102,0.99254990,-0.03487404,-0.38616571,0.07771484,0.91914988,4.833264,-23.103205,-5.855696,-2619.486328,-420.282715,5058.118652
2026_06_09_01_08_36.411,1.640000,0.98030847,0.02789497,0.18864410,0.05129040,0.92356539,-0.09003639,0.37272030,0.11108528,0.99318230,-0.03534009,-0.36699730,0.07404262,0.92727053,4.565722,-21.885096,-5.568457,-2643.583008,-387.060272,4733.222656
2026_06_09_01_08_36.431,1.660000,0.98252308,0.02690697,0.17765379,0.04861847,0.93215072,-0.08597729,0.35171425,0.10509779,0.99382454,-0.03559892,-0.34648156,0.07014794,0.93543029,4.288901,-20.593719,-5.270177,-2595.821289,-339.306488,4408.253418
2026_06_09_01_08_36.451,1.680000,0.98469770,0.02580986,0.16614495,0.04582787,0.94059134,-0.08167683,0.32957071,0.09882955,0.99446732,-0.03560169,-0.32483947,0.06605797,0.94345939,4.005423,-19.244139,-4.963231,-2549.960693,-297.706329,4093.833008
2026_06_09_01_08_36.471,1.700000,0.98680198,0.02458706,0.15419649,0.04290355,0.94876546,-0.07709213,0.30643255,0.09225709,0.99510950,-0.03529397,-0.30221307,0.06175628,0.95123786,3.714818,-17.845684,-4.645717,-2499.234131,-252.492874,3773.731201
2026_06_09_01_08_36.490,1.720000,0.98880154,0.02324129,0.14194012,0.03980649,0.95653689,-0.07212368,0.28255153,0.08531917,0.99575055,-0.03466177,-0.27885091,0.05726231,0.95862567,3.418682,-16.413755,-4.312308,-2420.780518,-204.487091,3452.696777
2026_06_09_01_08_36.510,1.740000,0.99068683,0.02178786,0.12934978,0.03651983,0.96386987,-0.06672291,0.25788164,0.07799593,0.99638319,-0.03372223,-0.25469887,0.05261756,0.96558785,3.119351,-14.945504,-3.960216,-2311.824707,-162.063171,3124.348145
2026_06_09_01_08_36.530,1.760000,0.99247849,0.02026026,0.11609667,0.03312854,0.97084814,-0.06105442,0.23178928,0.07046302,0.99698406,-0.03252352,-0.22910450,0.04790797,0.97222215,2.821277,-13.403424,-3.598727,-2167.663818,-130.185623,2786.491943
2026_06_09_01_08_36.550,1.780000,0.99420536,0.01865552,0.10160342,0.02973796,0.97758478,-0.05534035,0.20313889,0.06292221,0.99753523,-0.03105187,-0.20091978,0.04313779,0.97865742,2.524066,-11.721437,-3.240252,-2005.703125,-92.267395,2462.132324
2026_06_09_01_08_36.570,1.800000,0.99585527,0.01689932,0.08539407,0.02635613,0.98402643,-0.04960759,0.17097108,0.05537999,0.99803954,-0.02915723,-0.16918947,0.03815987,0.98484451,2.219099,-9.845010,-2.886214,-1831.402466,-43.597088,2159.651123
2026_06_09_01_08_36.590,1.820000,0.99735165,0.01483738,0.06740402,0.02294186,0.98986071,-0.04376200,0.13513181,0.04776240,0.99850702,-0.02650342,-0.13377023,0.03268891,0.99047309,1.890405,-7.766814,-2.531600,-1601.323486,4.588295,1861.676880
2026_06_09_01_08_36.609,1.840000,0.99858844,0.01251607,0.04780981,0.01946006,0.99467105,-0.03766840,0.09597176,0.04006196,0.99892932,-0.02313605,-0.09499751,0.02685758,0.99511516,1.546118,-5.507659,-2.168926,-1259.575806,44.385036,1555.117676
2026_06_09_01_08_36.629,1.860000,0.99946201,0.01006418,0.02678974,0.01602053,0.99805129,-0.03148460,0.05387311,0.03256306,0.99928409,-0.01925917,-0.05322818,0.02097591,0.99836206,1.203714,-3.088425,-1.806991,-776.042297,54.167221,1260.332397
2026_06_09_01_08_36.649,1.880000,0.99988073,0.00732974,0.00451889,0.01282869,0.99963003,-0.02558807,0.00922476,0.02572056,0.99956340,-0.01454180,-0.00884863,0.01477368,0.99985170,0.846596,-0.528586,-1.466419,-208.127716,22.437103,1000.377502
2026_06_09_01_08_36.669,1.900000,0.99976426,0.00431112,-0.01882108,0.00992577,0.99909449,-0.02000914,-0.03754770,0.01968458,0.99976581,-0.00899383,0.03771886,0.00824657,0.99925435,0.472870,2.151989,-1.147409,341.504578,-25.494879,758.407959
2026_06_09_01_08_36.692,1.920000,0.99904680,0.00111456,-0.04304614,0.00716016,0.99619150,-0.01440263,-0.08599426,0.01421072,0.99989498,-0.00284342,0.08602618,0.00161055,0.99629158,0.092628,4.933564,-0.828368,849.564636,-75.898811,494.712341
2026_06_09_01_08_36.708,1.940000,0.99767518,-0.00232375,-0.06797610,0.00424859,0.99072242,-0.00816151,-0.13565588,0.00879335,0.99995309,0.00405908,0.13561639,-0.00521429,0.99074769,-0.301566,7.797122,-0.472023,1354.634155,-136.552612,208.630890
2026_06_09_01_08_36.728,1.960000,0.99560660,-0.00605252,-0.09343386,0.00093542,0.98253846,-0.00073159,-0.18605807,0.00299363,0.99992496,0.01187705,0.18603542,-0.01222665,0.98246694,-0.713053,10.723617,-0.042665,1903.306885,-220.934097,-56.791138
2026_06_09_01_08_36.748,1.980000,0.99280858,-0.01015263,-0.11924671,-0.00290147,0.97154361,0.00818255,-0.23671940,-0.00333988,0.99977702,0.02085122,0.23683724,-0.01946726,0.97135431,-1.148216,13.694006,0.482581,2491.042480,-315.137146,-292.817383
2026_06_09_01_08_36.768,2.000000,0.98927480,-0.01467022,-0.14514357,-0.00731886,0.95775956,0.01873931,-0.28695902,-0.01022215,0.99946243,0.03115033,0.28738847,-0.02690119,0.95743626,-1.609541,16.677212,1.120976,3104.427979,-391.303680,-544.610046
2026_06_09_01_08_36.788,2.020000,0.98508042,-0.01947200,-0.17054974,-0.01226068,0.94152492,0.03079739,-0.33553290,-0.01751362,0.99894106,0.04254507,0.33648789,-0.03418085,0.94106728,-2.080300,19.606390,1.873622,3767.103027,-464.189728,-798.956909
